Date;Min;Max;Avg;Avg II;Dev;Dev %;Rain;DD;DD Sum;Trap1_Count;SumTrap1;Trap2_Count;SumTrap2;Trap3_Count;SumTrap3;Sum
26.01.2006;-19.5;-3.38;-14.38;-11.44;2.95;20.48;0;0;0;;0;;0;;0;0
27.01.2006;-23.13;4.25;-13.12;-9.44;3.68;28.05;0;0;0;;0;;0;;0;0
28.01.2006;-15.38;-7.31;-11.44;-11.34;0.1;0.88;0;0;0;;0;;0;;0;0
29.01.2006;-11.44;-4.94;-7.81;-8.19;0.38;4.85;0;0;0;;0;;0;;0;0
30.01.2006;-8.75;-1.44;-4.39;-5.09;0.71;16.16;0;0;0;;0;;0;;0;0
31.01.2006;-4.88;-1.69;-2.9;-3.28;0.38;13.02;0;0;0;;0;;0;;0;0
01.02.2006;-4.75;-2.25;-3.27;-3.5;0.23;7.1;0;0;0;;0;;0;;0;0
02.02.2006;-5.19;-2.38;-3.65;-3.78;0.13;3.57;0;0;0;;0;;0;;0;0
03.02.2006;-3.94;-1.19;-3.02;-2.56;0.45;15;0;0;0;;0;;0;;0;0
04.02.2006;-16.5;-2.56;-7.53;-9.53;2;26.51;1;0;0;;0;;0;;0;0
05.02.2006;-17.62;-4.44;-11.1;-11.03;0.07;0.61;0;0;0;;0;;0;;0;0
06.02.2006;-12.88;-4.44;-10.18;-8.66;1.53;15;0.3;0;0;;0;;0;;0;0
07.02.2006;-13;0.94;-5.58;-6.03;0.45;8.13;8.1;0;0;;0;;0;;0;0
08.02.2006;-1.62;0.94;-0.19;-0.34;0.15;79.24;5;0;0;;0;;0;;0;0
09.02.2006;-1.69;2;-0.08;0.16;0.24;292.69;2;0;0;;0;;0;;0;0
10.02.2006;-6.56;0.94;-3.22;-2.81;0.4;12.56;1.1;0;0;;0;;0;;0;0
11.02.2006;-9.63;-3.69;-6.51;-6.66;0.15;2.25;0.8;0;0;;0;;0;;0;0
12.02.2006;-5.25;-3.25;-4.51;-4.25;0.26;5.66;0;0;0;;0;;0;;0;0
13.02.2006;-5.62;-2.56;-4.12;-4.09;0.03;0.75;0.5;0;0;;0;;0;;0;0
14.02.2006;-5;0.88;-2.88;-2.06;0.81;28.26;4;0;0;;0;;0;;0;0
15.02.2006;-6.25;1.13;-2.19;-2.56;0.38;17.15;0.5;0;0;;0;;0;;0;0
16.02.2006;-8.19;-2.94;-5.74;-5.56;0.17;3.03;0;0;0;;0;;0;;0;0
17.02.2006;-8.62;-1.94;-4.85;-5.28;0.43;8.95;0.5;0;0;;0;;0;;0;0
18.02.2006;-2.88;9.75;1.56;3.44;1.88;120.38;2.8;0;0;;0;;0;;0;0
19.02.2006;-4.69;3.69;-0.78;-0.5;0.28;36;4;0;0;;0;;0;;0;0
20.02.2006;-7.88;6.19;-0.55;-0.84;0.29;52.73;0;0;0;;0;;0;;0;0
21.02.2006;-1.63;3.63;0.43;1;0.57;134.15;10.2;0;0;;0;;0;;0;0
22.02.2006;-5.81;-1.63;-2.98;-3.72;0.73;24.63;3;0;0;;0;;0;;0;0
23.02.2006;-11.63;2.25;-6.98;-4.69;2.3;32.88;0;0;0;;0;;0;;0;0
24.02.2006;-12.69;0.94;-5.45;-5.88;0.43;7.89;0;0;0;;0;;0;;0;0
25.02.2006;-9.56;5.63;-3.54;-1.97;1.57;44.37;0;0;0;;0;;0;;0;0
26.02.2006;-10;-2.31;-7.3;-6.16;1.14;15.66;0;0;0;;0;;0;;0;0
27.02.2006;-13.13;1.56;-7.03;-5.78;1.25;17.8;0;0;0;;0;;0;;0;0
28.02.2006;-12.44;0.69;-7.03;-5.88;1.15;16.41;0;0;0;;0;;0;;0;0
01.03.2006;-12.69;1.75;-6.74;-5.47;1.27;18.85;0;0;0;;0;;0;;0;0
02.03.2006;-6.31;4.44;-2.22;-0.94;1.28;57.77;0.5;0;0;;0;;0;;0;0
03.03.2006;-8.63;5.5;-3.24;-1.56;1.67;51.73;0;0;0;;0;;0;;0;0
04.03.2006;-8.62;3.56;-3.55;-2.53;1.02;28.74;1.4;0;0;;0;;0;;0;0
05.03.2006;-10.13;3.75;-4.11;-3.19;0.92;22.48;0;0;0;;0;;0;;0;0
06.03.2006;-13.81;1.94;-5.89;-5.94;0.05;0.79;1;0;0;;0;;0;;0;0
07.03.2006;-17.5;4.5;-7.48;-6.5;0.98;13.09;0;0;0;;0;;0;;0;0
08.03.2006;-15.94;6.63;-6.63;-4.66;1.97;29.74;0;0;0;;0;;0;;0;0
09.03.2006;-15.63;2.62;-6.08;-6.5;0.42;6.94;0;0;0;;0;;0;;0;0
10.03.2006;-5.62;2.25;-2.28;-1.69;0.59;25.95;0.3;0;0;;0;;0;;0;0
11.03.2006;-5.13;3.75;-2.11;-0.69;1.43;67.49;0;0;0;;0;;0;;0;0
12.03.2006;-8.75;2.81;-3.92;-2.97;0.95;24.29;0;0;0;;0;;0;;0;0
13.03.2006;-12.75;1.63;-5.97;-5.56;0.41;6.88;0;0;0;;0;;0;;0;0
14.03.2006;-6.94;0.75;-3.99;-3.09;0.9;22.44;0;0;0;;0;;0;;0;0
15.03.2006;-7.94;9.63;-1.53;0.84;2.37;155.18;0;0;0;;0;;0;;0;0
16.03.2006;-4.44;0.94;-1.36;-1.75;0.39;29;0;0;0;;0;;0;;0;0
17.03.2006;-2.62;1.69;-0.62;-0.47;0.15;24.46;0;0;0;;0;;0;;0;0
18.03.2006;-2.19;2.31;-0.13;0.06;0.19;148.55;1;0;0;;0;;0;;0;0
19.03.2006;-3.13;2.94;-1.47;-0.09;1.38;93.63;0;0;0;;0;;0;;0;0
20.03.2006;-3.13;7.81;0.08;2.34;2.27;2899.68;0;0;0;;0;;0;;0;0
21.03.2006;-8.56;6.62;-1.22;-0.97;0.25;20.47;0;0;0;;0;;0;;0;0
22.03.2006;-10.31;3.44;-3.81;-3.44;0.38;9.9;0;0;0;;0;;0;;0;0
23.03.2006;-8.62;7.31;-1.67;-0.65;1.02;60.92;0;0;0;;0;;0;;0;0
24.03.2006;-11.62;6.81;-2.07;-2.4;0.33;16;0;0;0;;0;;0;;0;0
25.03.2006;-8.19;9.63;1.15;0.72;0.43;37.29;0;0;0;;0;;0;;0;0
26.03.2006;0.13;3.38;1.2;1.75;0.55;45.41;1;0;0;;0;;0;;0;0
27.03.2006;1.13;12.5;5.61;6.81;1.2;21.46;4;0;0;;0;;0;;0;0
28.03.2006;3.94;15.81;8.25;9.88;1.63;19.74;2;0;0;;0;;0;;0;0
29.03.2006;4.13;8.25;6.18;6.19;0.01;0.18;5;0;0;;0;;0;;0;0
30.03.2006;1.44;13;5.82;7.22;1.4;23.98;0;0;0;;0;;0;;0;0
31.03.2006;4.5;9.44;6.77;6.97;0.2;2.97;2;0;0;;0;;0;;0;0
01.04.2006;5.25;15.62;7.78;10.44;2.65;34.11;0;0;0;;0;;0;;0;0
02.04.2006;5;18.62;11.65;11.81;0.16;1.41;0;1.65;1.65;;0;;0;;0;0
03.04.2006;16.5;20.63;18.54;18.56;0.02;0.11;1;8.54;10.19;;0;;0;;0;0
04.04.2006;16.75;20;18.17;18.38;0.2;1.11;0;8.17;18.36;;0;;0;;0;0
05.04.2006;14.69;20.75;17.21;17.72;0.51;2.98;0.5;7.21;25.57;;0;;0;;0;0
06.04.2006;-3.81;17.63;9.91;6.91;3;30.28;0;0;25.57;;0;;0;;0;0
07.04.2006;-5;15.25;4.11;5.13;1.02;24.76;0;0;25.57;;0;;0;;0;0
08.04.2006;-3;17.62;6.41;7.31;0.9;14.11;0;0;25.57;;0;;0;;0;0
09.04.2006;0.13;18.62;7.42;9.37;1.95;26.35;1;0;25.57;;0;;0;;0;0
10.04.2006;2.13;6.81;4.49;4.47;0.02;0.46;4;0;25.57;;0;;0;;0;0
11.04.2006;-1.19;11.5;3.45;5.16;1.71;49.56;10.9;0;25.57;;0;;0;;0;0
12.04.2006;-3.62;18.62;4.83;7.5;2.67;55.18;0;0;25.57;;0;;0;;0;0
13.04.2006;1.88;15.94;6.75;8.91;2.15;31.88;0;0;25.57;;0;;0;;0;0
14.04.2006;1.38;13;5.12;7.19;2.06;40.29;6;0;25.57;;0;;0;;0;0
15.04.2006;0.31;13.63;5.27;6.97;1.7;32.35;0.5;0;25.57;;0;;0;;0;0
16.04.2006;-1.25;13.75;6.61;6.25;0.36;5.51;0;0;25.57;;0;;0;;0;0
17.04.2006;3;15.81;8.76;9.41;0.65;7.37;2.5;0;25.57;;0;;0;;0;0
18.04.2006;3.31;16.62;8.13;9.97;1.83;22.52;0.5;0;25.57;;0;;0;;0;0
19.04.2006;2.19;18.62;9.63;10.4;0.77;8.01;0;0;25.57;;0;;0;;0;0
20.04.2006;2.63;24.69;12.41;13.66;1.24;10.01;0;2.41;27.98;;0;;0;;0;0
21.04.2006;3.88;23.88;11.84;13.88;2.03;17.18;0;1.84;29.82;;0;;0;;0;0
22.04.2006;2.13;21.75;9.87;11.94;2.07;21;0;0;29.82;;0;;0;;0;0
23.04.2006;2.56;22.88;12.64;12.72;0.08;0.66;0;2.64;32.46;;0;;0;;0;0
24.04.2006;6.63;24.62;12.56;15.62;3.06;24.39;0;2.56;35.02;;0;;0;;0;0
25.04.2006;4.13;27.88;14.12;16;1.88;13.28;0;4.12;39.14;;0;;0;;0;0
26.04.2006;7.19;25.63;14.77;16.41;1.63;11.05;0;4.77;43.92;;0;;0;;0;0
27.04.2006;3.25;24.81;13.23;14.03;0.8;6.05;0;3.23;47.15;;0;;0;;0;0
28.04.2006;2.94;23.75;13.2;13.34;0.14;1.1;0;3.2;50.35;;0;;0;;0;0
29.04.2006;6.63;13.31;9.64;9.97;0.32;3.36;3.5;0;50.35;;0;;0;;0;0
30.04.2006;6.44;13.88;9.16;10.16;1;10.91;14.4;0;50.35;;0;;0;;0;0
01.05.2006;6.19;19;11.45;12.59;1.15;10.01;2.5;1.45;51.79;;0;;0;;0;0
02.05.2006;6.88;18.5;11.62;12.69;1.07;9.2;0.5;1.62;53.41;;0;;0;;0;0
03.05.2006;3.63;21.56;12.53;12.59;0.07;0.54;0;2.53;55.94;;0;;0;;0;0
04.05.2006;3.63;22.5;13.41;13.06;0.35;2.58;0;3.41;59.35;0.5;0;;0;;0;0.5
05.05.2006;3.75;23.62;13.79;13.69;0.11;0.77;0;3.79;63.14;1;1;;0;;0;1
06.05.2006;4.94;23;14.4;13.97;0.43;2.99;0;4.4;67.54;1.5;1;0.5;0;;0;2
07.05.2006;7.19;24;15.08;15.59;0.51;3.4;0;5.08;72.62;2;3;1;1;;0;3
08.05.2006;7.44;25.38;15.43;16.41;0.98;6.33;0;5.43;78.05;2;3;1;1;;0;3
09.05.2006;6.69;21.62;14.83;14.15;0.68;4.55;0;4.83;82.88;2;5;1;2;;0;3
10.05.2006;6;19.62;11.77;12.81;1.04;8.8;0.5;1.77;84.65;1.5;5;1.5;2;;0;3
11.05.2006;4.13;21.38;13.4;12.75;0.65;4.83;0;3.4;88.05;1;6;2;4;;0;3
12.05.2006;10.31;24.62;16.85;17.47;0.61;3.63;0;6.85;94.9;0.5;6;1.5;4;;0;2
13.05.2006;7.88;26.88;17.81;17.38;0.44;2.45;0;7.81;102.71;0;6;1;5;;1;1
14.05.2006;9.5;21;13.75;15.25;1.5;10.95;3;3.75;106.46;1;6;1;5;;1;2
15.05.2006;3.31;17.38;10.33;10.34;0.02;0.15;0;0.33;106.79;2;8;1;6;;1;3
16.05.2006;6.13;25.44;13.59;15.78;2.19;16.14;4.1;3.59;110.37;3.5;8;2;6;;1;5.5
17.05.2006;7.13;20.13;12.52;13.63;1.11;8.85;1;2.52;112.89;5;13;3;9;;1;8
18.05.2006;8.44;19.88;13.93;14.16;0.22;1.6;0;3.93;116.82;6;13;4;9;;1;10
19.05.2006;9.19;19.94;13.67;14.56;0.89;6.52;17.3;3.67;120.5;7;20;5;14;;1;12
20.05.2006;7.75;21.13;13.91;14.44;0.53;3.82;5.1;3.91;124.4;3.5;20;3;14;;1;6.5
21.05.2006;8.31;14.13;11.39;11.22;0.17;1.48;2;1.39;125.79;0;20;1;15;;1;1
22.05.2006;7.94;24.88;16.68;16.41;0.27;1.64;0;6.68;132.47;1.5;20;1.5;15;;1;3
23.05.2006;11.19;21.94;16.18;16.56;0.39;2.4;0;6.18;138.65;3;23;2;17;;1;5
24.05.2006;7.63;16.62;12.67;12.12;0.55;4.31;0;2.67;141.31;4;23;1.5;17;;1;5.5
25.05.2006;6.31;18.44;11.81;12.38;0.56;4.76;0.8;1.81;143.13;5;28;1;18;;1;6
26.05.2006;5.75;14.81;8.9;10.28;1.38;15.49;12.2;0;143.13;2.5;28;0.5;18;;1;3
27.05.2006;1.44;16.25;9.67;8.84;0.83;8.55;0;0;143.13;0;28;0;18;;1;0
28.05.2006;5;14.62;10.06;9.81;0.25;2.5;6;0.06;143.19;0;28;0;18;;1;0
29.05.2006;5.63;15.38;9.01;10.5;1.49;16.49;2;0;143.19;0;28;0;18;;1;0
30.05.2006;5.13;16.63;9.44;10.88;1.44;15.21;0;0;143.19;1;28;0.5;18;;1;1.5
31.05.2006;6.13;15.88;9.59;11;1.41;14.71;1;0;143.19;2;30;1;19;;1;3
01.06.2006;6.13;17.44;9.45;11.78;2.33;24.7;0.5;0;143.19;1;30;0.5;19;;1;1.5
02.06.2006;4.56;17;11.8;10.78;1.02;8.61;0;1.8;144.99;0;30;0;19;;1;0
03.06.2006;8.63;19.38;14.15;14;0.15;1.06;0;4.15;149.14;0;30;0;19;;1;0
04.06.2006;7.56;15.5;11.09;11.53;0.44;3.93;0;1.09;150.23;0;30;0;19;;1;0
05.06.2006;6.13;14;8.77;10.06;1.29;14.71;1.3;0;150.23;0.5;30;0;19;;1;0.5
06.06.2006;4.94;17.13;10.37;11.03;0.66;6.34;0;0.37;150.6;1;31;0;19;;1;1
07.06.2006;2.94;14.81;9.86;8.88;0.99;9.99;0;0;150.6;1;31;0;19;;1;1
08.06.2006;3.75;19.62;11.94;11.69;0.25;2.11;0;1.94;152.54;1;32;0;19;;1;1
09.06.2006;7.88;17.63;12.3;12.75;0.45;3.63;0;2.3;154.84;1;32;0.5;19;;1;1.5
10.06.2006;5.38;19.63;13.17;12.5;0.67;5.11;1;3.17;158.02;1;33;1;20;;1;2
11.06.2006;8.44;22.75;16.3;15.59;0.7;4.31;0;6.3;164.31;1.5;33;1;20;;1;2.5
12.06.2006;9.25;26.25;19.61;17.75;1.86;9.51;0;9.61;173.93;2;35;1;21;;1;3
13.06.2006;21.69;24;22.83;22.84;0.02;0.07;0;12.83;186.76;3.5;35;2;21;;1;5.5
14.06.2006;12.75;26;22.21;19.38;2.84;12.78;0;12.21;198.97;5;40;3;24;;1;8
15.06.2006;10.88;28.62;21.44;19.75;1.69;7.89;4.1;11.44;210.41;6;40;3.5;24;;1;9.5
16.06.2006;13.38;26.94;21.41;20.16;1.25;5.86;0;11.41;221.82;7;47;4;28;;1;11
17.06.2006;9.88;26;18.32;17.94;0.38;2.07;0;8.32;230.13;5.5;47;2.5;28;;1;8
18.06.2006;12.38;20.81;16.42;16.59;0.18;1.08;2;6.42;236.55;4;51;1;29;;1;5
19.06.2006;10.44;26.19;18.17;18.31;0.14;0.79;0;8.17;244.72;3.5;51;1;29;;1;4.5
20.06.2006;9.5;30.44;20.93;19.97;0.96;4.6;0;10.93;255.65;3;54;1;30;;1;4
21.06.2006;12.31;32.25;22.7;22.28;0.41;1.82;0;12.7;268.35;1.5;54;0.5;30;;1;2
22.06.2006;16.25;29.94;21.81;23.09;1.28;5.87;1.5;11.81;280.16;0;54;0;30;;1;0
23.06.2006;12.69;22.62;18.24;17.65;0.58;3.2;5.1;8.24;288.4;0;54;0;30;;1;0
24.06.2006;9.44;25.81;18.32;17.63;0.7;3.8;0;8.32;296.72;0;54;0;30;;1;0
25.06.2006;9.44;29.75;20.37;19.59;0.78;3.81;0;10.37;307.09;0;54;0.5;30;;1;0.5
26.06.2006;13.75;33.25;23.26;23.5;0.24;1.02;0;13.26;320.35;0;54;1;31;;1;1
27.06.2006;16.5;30.81;23.72;23.66;0.06;0.26;0;13.72;334.07;0;54;1.5;31;;1;1.5
28.06.2006;16.44;25.88;20.7;21.16;0.46;2.22;4;10.7;344.77;0;54;2;33;;1;2
29.06.2006;14.25;23.56;18.7;18.91;0.21;1.12;1;8.7;353.46;1;54;2.5;33;;1;3.5
30.06.2006;12;24.38;18.53;18.19;0.34;1.84;0;8.53;361.99;2;56;3;36;;1;5
01.07.2006;13.44;25;18.76;19.22;0.46;2.45;0;8.76;370.75;8;56;5.5;36;;1;13.5
02.07.2006;10.19;26.88;18.96;18.53;0.43;2.28;0;8.96;379.71;14;70;8;44;;1;22
03.07.2006;7;26.31;17.75;16.66;1.09;6.14;0;7.75;387.46;15;70;8.5;44;;1;23.5
04.07.2006;7.5;29.44;19.89;18.47;1.42;7.13;0;9.89;397.35;16;86;9;53;;1;25
05.07.2006;10.13;32.56;22.13;21.34;0.78;3.53;0;12.13;409.47;16.5;86;10.5;53;;1;27
06.07.2006;12.56;32.81;23.57;22.69;0.88;3.75;0;13.57;423.04;17;103;12;65;;1;29
07.07.2006;12.63;33.63;23.9;23.13;0.77;3.24;0;13.9;436.94;17;103;14;65;;1;31
08.07.2006;13.38;34.56;24.91;23.97;0.94;3.78;0;14.91;451.85;17;120;16;81;;1;33
09.07.2006;16.88;30.69;25.63;23.78;1.85;7.2;0;15.63;467.48;18.5;120;17.5;81;;1;36
10.07.2006;17.31;36.62;26.13;26.97;0.84;3.21;0;16.13;483.6;20;140;19;100;;1;39
11.07.2006;18;34.81;26.58;26.41;0.17;0.64;0;16.58;500.18;16;140;16.5;100;;1;32.5
12.07.2006;16.25;34.44;25.07;25.34;0.27;1.09;10.9;15.07;515.25;12;152;14;114;;1;26
13.07.2006;16.25;32.31;23.57;24.28;0.71;3.01;7.7;13.57;528.82;9;152;12.5;114;;1;21.5
14.07.2006;14.19;23.69;19.39;18.94;0.46;2.35;0;9.39;538.22;6;158;11;125;;1;17
15.07.2006;11.25;23;16.86;17.13;0.26;1.55;0;6.86;545.08;8.5;158;14;125;;1;22.5
16.07.2006;9.81;23.13;16.8;16.47;0.33;1.98;0;6.8;551.88;11;169;17;142;;1;28
17.07.2006;9.38;26.13;18.29;17.75;0.54;2.93;0;8.29;560.17;9.5;169;14.5;142;;1;24
18.07.2006;12.56;30.62;22.07;21.59;0.48;2.19;0;12.07;572.24;8;177;12;154;;1;20
19.07.2006;15.19;28.38;21.45;21.78;0.34;1.57;0;11.45;583.68;11;177;12.5;154;;1;23.5
20.07.2006;11.63;31.5;22.05;21.56;0.49;2.21;0;12.05;595.73;14;191;13;167;;1;27
21.07.2006;16.19;34.56;23.18;25.38;2.19;9.47;0;13.18;608.92;10.5;191;11;167;;1;21.5
22.07.2006;16.31;28.94;22.76;22.63;0.13;0.59;4;12.76;621.67;7;198;9;176;;1;16
23.07.2006;15.56;30.19;22.9;22.88;0.03;0.11;0;12.9;634.57;5.5;198;8;176;;1;13.5
24.07.2006;14.88;33.81;24.68;24.34;0.34;1.37;0;14.68;649.26;4;202;7;183;;1;11
25.07.2006;18.25;29.63;24.06;23.94;0.12;0.5;0;14.06;663.31;5;202;6;183;;1;11
26.07.2006;15.13;32.31;23.66;23.72;0.06;0.25;0;13.66;676.97;6;208;5;188;;1;11
27.07.2006;16.69;30.81;23.68;23.75;0.07;0.29;0;13.68;690.65;4;208;3;188;;1;7
28.07.2006;12.38;30.69;21.35;21.53;0.18;0.83;0;11.35;702.01;2;210;1;189;;1;3
29.07.2006;11.38;31.69;22.19;21.53;0.66;2.98;0;12.19;714.2;3;210;2;189;;1;5
30.07.2006;15.75;26.25;21.36;21;0.36;1.67;0;11.36;725.56;4;214;3;192;;1;7
31.07.2006;12.56;30.13;21.21;21.34;0.13;0.62;0;11.21;736.77;3.5;214;3;192;;1;6.5
01.08.2006;15.88;21.31;18.18;18.59;0.41;2.27;8.2;8.18;744.95;3;217;3;195;;1;6
02.08.2006;13.38;24.62;18.29;19;0.7;3.85;0;8.29;753.24;2;217;2.5;195;;1;4.5
03.08.2006;12.56;25.94;19.15;19.25;0.1;0.52;0.5;9.15;762.39;1;218;2;197;;1;3
04.08.2006;13;17.38;14.95;15.19;0.24;1.6;10.1;4.95;767.34;2;218;3.5;197;;1;5.5
05.08.2006;12.25;23.44;16.87;17.84;0.98;5.79;0;6.87;774.21;3;221;5;202;;1;8
06.08.2006;12.56;17.62;14.19;15.09;0.9;6.32;79.3;4.19;778.4;4.5;221;6;202;;1;10.5
07.08.2006;11.5;26.5;17.61;19;1.39;7.88;0;7.61;786.01;6;227;7;209;;1;13
08.08.2006;13.94;24.88;17.71;19.41;1.7;9.61;0;7.71;793.72;4;227;5.5;209;;1;9.5
09.08.2006;13.5;19.56;15.59;16.53;0.94;6.01;19.8;5.59;799.31;2;229;4;213;;1;6
10.08.2006;13.88;20.56;16.34;17.22;0.88;5.36;3.5;6.34;805.65;2.5;229;3.5;213;;1;6
11.08.2006;13.5;21;16.42;17.25;0.83;5.06;9.9;6.42;812.07;3;232;3;216;;1;6
12.08.2006;13;22;17.56;17.5;0.06;0.37;6;7.56;819.64;2.5;232;3;216;;1;5.5
13.08.2006;15;22;17.86;18.5;0.64;3.61;2.5;7.86;827.49;2;234;3;219;;1;5
14.08.2006;13.9;19;15.67;16.45;0.78;5;1;5.67;833.16;3;234;3.5;219;;1;6.5
15.08.2006;13;22;17.63;17.5;0.13;0.72;0;7.63;840.79;4;238;4;223;;1;8
16.08.2006;12;24;19.07;18;1.07;5.61;0;9.07;849.86;5.5;238;5;223;;1;10.5
17.08.2006;16;29;21.89;22.5;0.61;2.79;4.1;11.89;861.75;7;245;6;229;;1;13
18.08.2006;16;28;21.18;22;0.82;3.9;1;11.18;872.92;6.5;245;7;229;;1;13.5
19.08.2006;15;23.2;19.65;19.1;0.55;2.81;0;9.65;882.57;6;251;8;237;;1;14
20.08.2006;13;25;19.16;19;0.16;0.83;0;9.16;891.73;5.5;251;7;237;;1;12.5
21.08.2006;14;22.5;18.31;18.25;0.06;0.35;10.2;8.31;900.05;5;256;6;243;;1;11
22.08.2006;14;21;17.18;17.5;0.32;1.86;0;7.18;907.23;4.5;256;4.5;243;;1;9
23.08.2006;13;21.8;17.01;17.4;0.39;2.29;0;7.01;914.24;4;260;3;246;;1;7
24.08.2006;11;21;17.3;16;1.3;7.5;0;7.3;921.54;3;260;3;246;;1;6
25.08.2006;10;24;17.39;17;0.39;2.26;6.1;7.39;928.93;2;262;3;249;;1;5
26.08.2006;13;22;17.63;17.5;0.13;0.72;21.4;7.63;936.56;2;262;2;249;;1;4
27.08.2006;10;21;16.34;15.5;0.84;5.11;0;6.34;942.89;2;264;1;250;;1;3
28.08.2006;11;20;15.14;15.5;0.36;2.37;0;5.14;948.03;1.5;264;0.5;250;;1;2
29.08.2006;10;16;13.15;13;0.15;1.17;3.8;3.15;951.19;1;265;0;250;;1;1
30.08.2006;11.9;13;12.49;12.45;0.04;0.35;31.2;2.49;953.68;1.5;265;0.5;250;;1;2
31.08.2006;13;22;16.86;17.5;0.64;3.82;15;6.86;960.54;2;267;1;251;;1;3
01.09.2006;11;18;14.67;14.5;0.17;1.13;0;4.67;965.2;2.5;267;1.5;251;;1;4
02.09.2006;12.5;24;18.43;18.25;0.18;0.96;0;8.43;973.63;3;270;2;253;;1;5
03.09.2006;14;22;18.31;18;0.31;1.7;4;8.31;981.94;2.5;270;2.5;253;;1;5
04.09.2006;15;21;18.11;18;0.11;0.6;1.6;8.11;990.05;2;272;3;256;;1;5
05.09.2006;14;17.4;15.51;15.7;0.19;1.22;0;5.51;995.56;1.5;272;2.5;256;;1;4
06.09.2006;11;19;15.28;15;0.28;1.84;0;5.28;1000.84;1;273;2;258;;1;3
07.09.2006;15;25.4;20.04;20.2;0.16;0.79;0;10.04;1010.88;1;273;1.5;258;;1;2.5
08.09.2006;10;19;14.12;14.5;0.38;2.69;7.1;4.12;1015;1;274;1;259;;1;2
09.09.2006;9;18;13.49;13.5;0.01;0.09;1;3.49;1018.49;1;274;1;259;;1;2
10.09.2006;8;18;13.23;13;0.23;1.72;0;3.23;1021.72;1;275;1;260;;1;2
11.09.2006;7;22;14.95;14.5;0.45;2.98;0;4.95;1026.66;0.5;275;0.5;260;;1;1
12.09.2006;9.9;21;15.59;15.45;0.14;0.9;0;5.59;1032.25;0;275;0;260;;1;0
13.09.2006;9;23;16.38;16;0.38;2.3;0;6.38;1038.63;1;275;0.5;260;;1;1.5
14.09.2006;10;23.2;16.91;16.6;0.31;1.81;0;6.91;1045.54;2;277;1;261;;1;3
15.09.2006;11;24;17.59;17.5;0.09;0.5;0;7.59;1053.13;1.5;277;1.5;261;;1;3
16.09.2006;13;21.1;16.59;17.05;0.46;2.8;0;6.59;1059.71;1;278;2;263;;1;3
17.09.2006;11;21.2;16.07;16.1;0.03;0.18;0;6.07;1065.78;1.5;278;1.5;263;;1;3
18.09.2006;13;23;17.51;18;0.49;2.82;0;7.51;1073.29;2;280;1;264;;1;3
